AIS,MUNICIPIO,NATUREZA DO FATO,ARMA-UTILZADA,DATA,SEXO,IDADE,State,Country,LATITUTDE,LONGITUDE,DiaDaSemana,Mes
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,01/01/2020,Masculino,26,Ceará,Brazil,-3.8922967000000006,-38.6835427,Quarta,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Outros meios,01/01/2020,Masculino,40,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Quarta,Janeiro
AIS 19,Mauriti,HOMICIDIO DOLOSO,Arma branca,01/01/2020,Masculino,23,Ceará,Brazil,-7.3870095,-38.7737751,Quarta,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma branca,01/01/2020,Masculino,53,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Quarta,Janeiro
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Outros meios,01/01/2020,Masculino,19,Ceará,Brazil,-3.7304512,-38.5217989,Quarta,Janeiro
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Arma branca,01/01/2020,Feminino,18,Ceará,Brazil,-3.7304512,-38.5217989,Quarta,Janeiro
AIS 16,Santa Quitéria,HOMICIDIO DOLOSO,Arma de fogo,01/01/2020,Masculino,17,Ceará,Brazil,-4.3336553,-40.1544913,Quarta,Janeiro
AIS 14,Forquilha,HOMICIDIO DOLOSO,Arma de fogo,01/01/2020,Masculino,32,Ceará,Brazil,-3.799447,-40.263405,Quarta,Janeiro
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,01/01/2020,Feminino,27,Ceará,Brazil,-3.7304512,-38.5217989,Quarta,Janeiro
AIS 15,Aracoiaba,HOMICIDIO DOLOSO,Outros meios,02/01/2020,Masculino,29,Ceará,Brazil,-4.370257700000002,-38.8084313,Quinta,Janeiro
AIS 18,Jaguaribara,HOMICIDIO DOLOSO,Arma de fogo,02/01/2020,Masculino,42,Ceará,Brazil,-5.454494,-38.4679295,Quinta,Janeiro
AIS 20,Banabuiú,HOMICIDIO DOLOSO,Arma de fogo,02/01/2020,Feminino,23,Ceará,Brazil,-5.3046404,-38.919766,Quinta,Janeiro
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Outros meios,02/01/2020,Masculino,-,Ceará,Brazil,-3.7304512,-38.5217989,Quinta,Janeiro
AIS 1,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,02/01/2020,Masculino,41,Ceará,Brazil,-3.7304512,-38.5217989,Quinta,Janeiro
AIS 13,Pacajus,HOMICIDIO DOLOSO,Outros meios,02/01/2020,Masculino,22,Ceará,Brazil,-4.171073000000002,-38.464988,Quinta,Janeiro
AIS 20,Milhã,HOMICIDIO DOLOSO,Arma de fogo,02/01/2020,Masculino,28,Ceará,Brazil,-5.6834601,-39.1970885,Quinta,Janeiro
AIS 15,Aracoiaba,HOMICIDIO DOLOSO,Outros meios,02/01/2020,Masculino,23,Ceará,Brazil,-4.370257700000002,-38.8084313,Quinta,Janeiro
AIS 15,Aracoiaba,HOMICIDIO DOLOSO,Outros meios,03/01/2020,Masculino,50,Ceará,Brazil,-4.370257700000002,-38.8084313,Sexta,Janeiro
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,33,Ceará,Brazil,-3.7304512,-38.5217989,Sexta,Janeiro
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,35,Ceará,Brazil,-3.8922967000000006,-38.6835427,Sexta,Janeiro
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,20,Ceará,Brazil,-3.6879135,-40.34563720000001,Sexta,Janeiro
AIS 13,Aquiraz,ROUBO SEGUIDO DE MORTE (LATROCINIO),Arma de fogo,03/01/2020,Masculino,25,Ceará,Brazil,-3.9063117,-38.387504,Sexta,Janeiro
AIS 19,Crato,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,15,Ceará,Brazil,-7.2369112000000015,-39.4149236,Sexta,Janeiro
AIS 17,Acaraú,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,41,Ceará,Brazil,-2.8869514,-40.1194713,Sexta,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,14,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Sexta,Janeiro
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,27,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Sexta,Janeiro
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,18,Ceará,Brazil,-3.8922967000000006,-38.6835427,Sexta,Janeiro
AIS 15,Baturité,HOMICIDIO DOLOSO,Arma branca,04/01/2020,Masculino,50,Ceará,Brazil,-4.3290203,-38.8821055,Sábado,Janeiro
AIS 20,Quixadá,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Masculino,28,Ceará,Brazil,-4.970602099999999,-39.0158403,Sábado,Janeiro
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Masculino,24,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Masculino,26,Ceará,Brazil,-3.9063117,-38.387504,Sábado,Janeiro
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Masculino,25,Ceará,Brazil,-3.7304512,-38.5217989,Sábado,Janeiro
AIS 17,Apuiarés,HOMICIDIO DOLOSO,Arma branca,04/01/2020,Masculino,-,Ceará,Brazil,-3.9460303,-39.43132979999999,Sábado,Janeiro
AIS 22,Quiterianópolis,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Masculino,28,Ceará,Brazil,-5.8458117,-40.70218120000001,Sábado,Janeiro
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Masculino,17,Ceará,Brazil,-3.9841,-38.6180383,Sábado,Janeiro
