AIS,MUNICIPIO,NATUREZA DO FATO,ARMA-UTILZADA,DATA,SEXO,IDADE,State,Country,LATITUTDE,LONGITUDE
AIS 13,Horizonte,HOMICIDIO DOLOSO,Arma de fogo,02/04/2020,Masculino,22,Ceará,Brazil,-4.0964618,-38.4965574
AIS 5,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,02/04/2020,Masculino,28,Ceará,Brazil,-3.7304512,-38.5217989
AIS 19,Juazeiro do Norte,HOMICIDIO DOLOSO,Arma branca,02/04/2020,Masculino,56,Ceará,Brazil,-7.2153453,-39.3153336
AIS 20,Ibicuitinga,HOMICIDIO DOLOSO,Arma de fogo,02/04/2020,Masculino,17,Ceará,Brazil,-4.9751759,-38.6368754
AIS 14,Tianguá,HOMICIDIO DOLOSO,Arma de fogo,03/04/2020,Masculino,23,Ceará,Brazil,-3.7307332,-41.0004019
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,03/04/2020,Masculino,21,Ceará,Brazil,-3.7300563,-38.6593082
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,03/04/2020,Masculino,19,Ceará,Brazil,-3.9063117,-38.387504
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma branca,03/04/2020,Masculino,-,Ceará,Brazil,-3.7304512,-38.5217989
AIS 1,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,03/04/2020,Masculino,17,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Trairi,HOMICIDIO DOLOSO,Arma de fogo,03/04/2020,Masculino,46,Ceará,Brazil,-3.2741504,-39.2649188
AIS 19,Crato,HOMICIDIO DOLOSO,Arma de fogo,03/04/2020,Masculino,25,Ceará,Brazil,-7.2369112,-39.4149236
AIS 7,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,03/04/2020,Masculino,32,Ceará,Brazil,-3.7304512,-38.5217989
AIS 4,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,03/04/2020,Masculino,21,Ceará,Brazil,-3.7304512,-38.5217989
AIS 7,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,03/04/2020,Masculino,29,Ceará,Brazil,-3.7304512,-38.5217989
AIS 7,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,03/04/2020,Masculino,22,Ceará,Brazil,-3.7304512,-38.5217989
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,03/04/2020,Masculino,14,Ceará,Brazil,-3.7304512,-38.5217989
AIS 19,Campos Sales,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Masculino,23,Ceará,Brazil,-7.0750814,-40.3830178
AIS 13,Horizonte,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Masculino,49,Ceará,Brazil,-4.0964618,-38.4965574
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Masculino,27,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Masculino,24,Ceará,Brazil,-3.8922967,-38.6835427
AIS 15,Redenção,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Masculino,28,Ceará,Brazil,-4.2243979,-38.7278461
AIS 14,Massapê,HOMICIDIO DOLOSO,Arma branca,04/04/2020,Masculino,26,Ceará,Brazil,-3.5239058,-40.3423107
AIS 18,Limoeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Masculino,24,Ceará,Brazil,-5.1455607,-38.0984936
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Outros meios,04/04/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Masculino,22,Ceará,Brazil,-3.9063117,-38.387504
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989
AIS 20,Milhã,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Masculino,33,Ceará,Brazil,-5.6834601,-39.1970885
AIS 18,Limoeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Feminino,35,Ceará,Brazil,-5.1455607,-38.0984936
AIS 15,Aracoiaba,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Masculino,42,Ceará,Brazil,-4.3702577,-38.8084313
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Masculino,21,Ceará,Brazil,-3.9841,-38.6180383
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,04/04/2020,Masculino,28,Ceará,Brazil,-3.8922967,-38.6835427
AIS 14,Sobral,FEMINICÍDIO,Arma de fogo,05/04/2020,Feminino,17,Ceará,Brazil,-3.6879135,-40.3456372
AIS 14,Guaraciaba do Norte,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,21,Ceará,Brazil,-4.1632924,-40.7495985
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,31,Ceará,Brazil,-3.7304512,-38.5217989
AIS 19,Crato,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,22,Ceará,Brazil,-7.2369112,-39.4149236
AIS 13,Horizonte,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,20,Ceará,Brazil,-4.0964618,-38.4965574
AIS 21,Cedro,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,18,Ceará,Brazil,-6.6065382,-39.0599487
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma branca,05/04/2020,Feminino,28,Ceará,Brazil,-3.9063117,-38.387504
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma branca,05/04/2020,Masculino,30,Ceará,Brazil,-3.9063117,-38.387504
AIS 19,Juazeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,28,Ceará,Brazil,-7.2153453,-39.3153336
AIS 15,Baturité,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,35,Ceará,Brazil,-4.3290203,-38.8821055
AIS 18,Jaguaruana,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,43,Ceará,Brazil,-4.831508,-37.780997
AIS 17,Itapipoca,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,38,Ceará,Brazil,-3.499329,-39.583571
AIS 5,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,27,Ceará,Brazil,-3.7304512,-38.5217989
AIS 17,Amontada,HOMICIDIO DOLOSO,Arma branca,05/04/2020,Masculino,42,Ceará,Brazil,-3.3634586,-39.8284791
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,33,Ceará,Brazil,-3.9063117,-38.387504
AIS 14,Forquilha,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,19,Ceará,Brazil,-3.799447,-40.263405
AIS 9,Fortaleza,LESAO CORPORAL SEGUIDA DE MORTE,Outros meios,05/04/2020,Masculino,41,Ceará,Brazil,-3.7304512,-38.5217989
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,49,Ceará,Brazil,-3.7304512,-38.5217989
AIS 13,Horizonte,HOMICIDIO DOLOSO,Arma de fogo,05/04/2020,Masculino,22,Ceará,Brazil,-4.0964618,-38.4965574
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Outros meios,05/04/2020,Feminino,37,Ceará,Brazil,-3.8779438,-38.6247697
AIS 4,Fortaleza,HOMICIDIO DOLOSO,Arma branca,06/04/2020,Masculino,28,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,06/04/2020,Masculino,37,Ceará,Brazil,-3.7300563,-38.6593082
AIS 21,Várzea Alegre,HOMICIDIO DOLOSO,Arma de fogo,06/04/2020,Masculino,24,Ceará,Brazil,-6.7936089,-39.2989333
AIS 21,Cedro,HOMICIDIO DOLOSO,Arma de fogo,06/04/2020,Masculino,24,Ceará,Brazil,-6.6065382,-39.0599487
AIS 15,Boa Viagem,HOMICIDIO DOLOSO,Arma branca,06/04/2020,Masculino,43,Ceará,Brazil,-5.1261877,-39.7300055
AIS 21,Orós,HOMICIDIO DOLOSO,Arma de fogo,06/04/2020,Masculino,26,Ceará,Brazil,-6.2427541,-38.9141151
AIS 21,Orós,HOMICIDIO DOLOSO,Arma de fogo,06/04/2020,Masculino,20,Ceará,Brazil,-6.2427541,-38.9141151
AIS 7,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,06/04/2020,Feminino,72,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Caucaia,HOMICIDIO DOLOSO,Outros meios,06/04/2020,Masculino,84,Ceará,Brazil,-3.7300563,-38.6593082
AIS 10,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,07/04/2020,Masculino,38,Ceará,Brazil,-3.7304512,-38.5217989
AIS 17,Marco,HOMICIDIO DOLOSO,Arma de fogo,07/04/2020,Feminino,35,Ceará,Brazil,-3.1221945,-40.1514585
AIS 5,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,07/04/2020,Masculino,-,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,07/04/2020,Masculino,27,Ceará,Brazil,-3.8779438,-38.6247697
AIS 7,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,07/04/2020,Masculino,16,Ceará,Brazil,-3.7304512,-38.5217989
AIS 13,Cascavel,HOMICIDIO DOLOSO,Arma de fogo,07/04/2020,Masculino,55,Ceará,Brazil,-4.129666,-38.241178
AIS 17,Itarema,HOMICIDIO DOLOSO,Arma de fogo,07/04/2020,Masculino,17,Ceará,Brazil,-2.9224684,-39.9152184
AIS 18,São João do Jaguaribe,HOMICIDIO DOLOSO,Arma de fogo,07/04/2020,Masculino,26,Ceará,Brazil,-5.2719441,-38.271993
AIS 17,Itarema,HOMICIDIO DOLOSO,Arma branca,07/04/2020,Masculino,15,Ceará,Brazil,-2.9224684,-39.9152184
AIS 1,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,07/04/2020,Masculino,37,Ceará,Brazil,-3.7304512,-38.5217989
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,07/04/2020,Masculino,21,Ceará,Brazil,-3.9063117,-38.387504
AIS 18,Limoeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,07/04/2020,Masculino,27,Ceará,Brazil,-5.1455607,-38.0984936
AIS 19,Juazeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,24,Ceará,Brazil,-7.2153453,-39.3153336
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Feminino,16,Ceará,Brazil,-3.7304512,-38.5217989
AIS 17,Marco,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,40,Ceará,Brazil,-3.1221945,-40.1514585
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,19,Ceará,Brazil,-4.171073,-38.464988
AIS 19,Juazeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,24,Ceará,Brazil,-7.2153453,-39.3153336
AIS 19,Juazeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Feminino,21,Ceará,Brazil,-7.2153453,-39.3153336
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,-,Ceará,Brazil,-3.9063117,-38.387504
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma branca,08/04/2020,Masculino,26,Ceará,Brazil,-3.8922967,-38.6835427
AIS 7,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,20,Ceará,Brazil,-3.9063117,-38.387504
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,23,Ceará,Brazil,-3.9063117,-38.387504
AIS 17,Marco,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,53,Ceará,Brazil,-3.1221945,-40.1514585
AIS 13,Eusébio,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,28,Ceará,Brazil,-3.8889838,-38.4546585
AIS 17,Itarema,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,15,Ceará,Brazil,-2.9224684,-39.9152184
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,32,Ceará,Brazil,-3.6879135,-40.3456372
AIS 4,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,33,Ceará,Brazil,-3.7304512,-38.5217989
AIS 13,Eusébio,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,16,Ceará,Brazil,-3.8889838,-38.4546585
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989
AIS 16,Catunda,HOMICIDIO DOLOSO,Arma de fogo,08/04/2020,Masculino,18,Ceará,Brazil,-4.6494224,-40.2002603
AIS 13,Horizonte,HOMICIDIO DOLOSO,Arma de fogo,09/04/2020,Masculino,24,Ceará,Brazil,-4.0964618,-38.4965574
AIS 16,Independência,HOMICIDIO DOLOSO,Arma de fogo,09/04/2020,Masculino,20,Ceará,Brazil,-5.3958538,-40.3108896
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,09/04/2020,Feminino,42,Ceará,Brazil,-3.7304512,-38.5217989
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Outros meios,09/04/2020,Masculino,-,Ceará,Brazil,-3.7304512,-38.5217989
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Outros meios,09/04/2020,Masculino,-,Ceará,Brazil,-3.7304512,-38.5217989
AIS 17,Pentecoste,HOMICIDIO DOLOSO,Arma de fogo,09/04/2020,Masculino,25,Ceará,Brazil,-3.7952282,-39.2713219
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,09/04/2020,Masculino,23,Ceará,Brazil,-3.7300563,-38.6593082
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,09/04/2020,Masculino,15,Ceará,Brazil,-3.7304512,-38.5217989
AIS 10,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,09/04/2020,Masculino,33,Ceará,Brazil,-3.7304512,-38.5217989
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,09/04/2020,Masculino,21,Ceará,Brazil,-3.7304512,-38.5217989
AIS 18,Jaguaribara,HOMICIDIO DOLOSO,Arma de fogo,09/04/2020,Masculino,23,Ceará,Brazil,-5.454494,-38.4679295
AIS 17,Cruz,HOMICIDIO DOLOSO,Arma de fogo,09/04/2020,Masculino,24,Ceará,Brazil,-2.918128,-40.175981
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,09/04/2020,Masculino,70,Ceará,Brazil,-3.7300563,-38.6593082
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,09/04/2020,Masculino,46,Ceará,Brazil,-3.7300563,-38.6593082
AIS 4,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,10/04/2020,Masculino,47,Ceará,Brazil,-3.7304512,-38.5217989
AIS 18,Limoeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,10/04/2020,Masculino,61,Ceará,Brazil,-5.1455607,-38.0984936
AIS 1,Fortaleza,HOMICIDIO DOLOSO,Arma branca,10/04/2020,Masculino,-,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Arma de fogo,10/04/2020,Masculino,20,Ceará,Brazil,-3.9841,-38.6180383
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Arma de fogo,10/04/2020,Masculino,24,Ceará,Brazil,-3.9841,-38.6180383
AIS 4,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,10/04/2020,Masculino,15,Ceará,Brazil,-3.7304512,-38.5217989
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma branca,10/04/2020,Masculino,23,Ceará,Brazil,-3.7304512,-38.5217989
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,10/04/2020,Feminino,21,Ceará,Brazil,-3.7304512,-38.5217989
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,10/04/2020,Masculino,29,Ceará,Brazil,-3.7304512,-38.5217989
AIS 17,Itarema,HOMICIDIO DOLOSO,Arma de fogo,10/04/2020,Masculino,17,Ceará,Brazil,-2.9224684,-39.9152184
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,10/04/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989
AIS 15,Canindé,HOMICIDIO DOLOSO,Arma branca,10/04/2020,Masculino,21,Ceará,Brazil,-4.3547946,-39.3108516
AIS 13,Eusébio,HOMICIDIO DOLOSO,Arma de fogo,11/04/2020,Masculino,31,Ceará,Brazil,-3.8889838,-38.4546585
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,11/04/2020,Masculino,24,Ceará,Brazil,-3.7300563,-38.6593082
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Outros meios,11/04/2020,Masculino,21,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,11/04/2020,Masculino,18,Ceará,Brazil,-3.8779438,-38.6247697
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/04/2020,Masculino,32,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Paraipaba,HOMICIDIO DOLOSO,Arma de fogo,11/04/2020,Masculino,18,Ceará,Brazil,-3.437987,-39.147868
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma de fogo,11/04/2020,Masculino,22,Ceará,Brazil,-3.6879135,-40.3456372
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,11/04/2020,Masculino,26,Ceará,Brazil,-3.7300563,-38.6593082
AIS 15,Boa Viagem,HOMICIDIO DOLOSO,Arma branca,11/04/2020,Masculino,62,Ceará,Brazil,-5.1261877,-39.7300055
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/04/2020,Masculino,19,Ceará,Brazil,-3.7304512,-38.5217989
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/04/2020,Masculino,24,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,11/04/2020,Masculino,16,Ceará,Brazil,-3.8922967,-38.6835427
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,11/04/2020,Masculino,11,Ceará,Brazil,-3.8779438,-38.6247697
AIS 21,Saboeiro,HOMICIDIO DOLOSO,Arma de fogo,11/04/2020,Masculino,23,Ceará,Brazil,-6.539564,-39.9047802
AIS 13,Pacajus,HOMICIDIO DOLOSO,Outros meios,12/04/2020,Masculino,25,Ceará,Brazil,-4.171073,-38.464988
AIS 19,Brejo Santo,HOMICIDIO DOLOSO,Arma de fogo,12/04/2020,Masculino,31,Ceará,Brazil,-7.4909841,-38.9859152
AIS 14,Tianguá,ROUBO SEGUIDO DE MORTE (LATROCINIO),Arma de fogo,12/04/2020,Masculino,32,Ceará,Brazil,-3.7307332,-41.0004019
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,12/04/2020,Masculino,37,Ceará,Brazil,-3.7300563,-38.6593082
AIS 19,Crato,HOMICIDIO DOLOSO,Arma branca,12/04/2020,Feminino,76,Ceará,Brazil,-7.2369112,-39.4149236
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma branca,12/04/2020,Masculino,23,Ceará,Brazil,-3.7304512,-38.5217989
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,12/04/2020,Masculino,28,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Paraipaba,HOMICIDIO DOLOSO,Outros meios,12/04/2020,Masculino,82,Ceará,Brazil,-3.437987,-39.147868
AIS 17,Pentecoste,HOMICIDIO DOLOSO,Arma branca,12/04/2020,Masculino,41,Ceará,Brazil,-3.7952282,-39.2713219
AIS 13,Cascavel,HOMICIDIO DOLOSO,Arma de fogo,12/04/2020,Masculino,55,Ceará,Brazil,-4.129666,-38.241178
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,12/04/2020,Masculino,36,Ceará,Brazil,-4.171073,-38.464988
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma de fogo,12/04/2020,Masculino,48,Ceará,Brazil,-3.6879135,-40.3456372
AIS 19,Crato,HOMICIDIO DOLOSO,Arma de fogo,12/04/2020,Masculino,19,Ceará,Brazil,-7.2369112,-39.4149236
AIS 16,Independência,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,25,Ceará,Brazil,-5.3958538,-40.3108896
AIS 20,Milhã,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,44,Ceará,Brazil,-5.6834601,-39.1970885
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,20,Ceará,Brazil,-3.7304512,-38.5217989
AIS 17,Itarema,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,25,Ceará,Brazil,-2.9224684,-39.9152184
AIS 15,Barreira,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,-,Ceará,Brazil,-4.2883361,-38.641094
AIS 13,Chorozinho,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,17,Ceará,Brazil,-4.3010895,-38.4976923
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,18,Ceará,Brazil,-3.7300563,-38.6593082
AIS 18,Russas,HOMICIDIO DOLOSO,Arma branca,13/04/2020,Masculino,45,Ceará,Brazil,-4.9354279,-37.9783838
AIS 16,Hidrolândia,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,23,Ceará,Brazil,-4.4084745,-40.4065472
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,21,Ceará,Brazil,-3.7300563,-38.6593082
AIS 16,Crateús,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,30,Ceará,Brazil,-5.1782451,-40.6696545
AIS 13,Chorozinho,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,20,Ceará,Brazil,-4.3010895,-38.4976923
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,19,Ceará,Brazil,-3.7304512,-38.5217989
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,21,Ceará,Brazil,-4.171073,-38.464988
AIS 5,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,21,Ceará,Brazil,-3.7304512,-38.5217989
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,30,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,13/04/2020,Masculino,19,Ceará,Brazil,-3.7300563,-38.6593082
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma branca,14/04/2020,Masculino,55,Ceará,Brazil,-3.6879135,-40.3456372
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,14/04/2020,Masculino,20,Ceará,Brazil,-4.171073,-38.464988
AIS 17,Itapajé,HOMICIDIO DOLOSO,Arma de fogo,14/04/2020,Masculino,40,Ceará,Brazil,-3.6841324,-39.5851265
AIS 12,Itaitinga,HOMICIDIO DOLOSO,Arma de fogo,14/04/2020,Masculino,15,Ceará,Brazil,-3.965768,-38.529763
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,14/04/2020,Masculino,26,Ceará,Brazil,-3.9063117,-38.387504
AIS 20,Choró,HOMICIDIO DOLOSO,Arma de fogo,14/04/2020,Masculino,18,Ceará,Brazil,-4.8435726,-39.1393071
AIS 12,Itaitinga,HOMICIDIO DOLOSO,Arma de fogo,14/04/2020,Masculino,18,Ceará,Brazil,-3.965768,-38.529763
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,14/04/2020,Masculino,21,Ceará,Brazil,-3.7304512,-38.5217989
AIS 21,Lavras da Mangabeira,HOMICIDIO DOLOSO,Arma de fogo,14/04/2020,Masculino,59,Ceará,Brazil,-6.7567541,-38.978435941213945
AIS 1,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,14/04/2020,Masculino,21,Ceará,Brazil,-3.7304512,-38.5217989
AIS 18,Russas,HOMICIDIO DOLOSO,Arma de fogo,14/04/2020,Masculino,25,Ceará,Brazil,-4.9354279,-37.9783838
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,14/04/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,15/04/2020,Masculino,23,Ceará,Brazil,-3.7304512,-38.5217989
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma branca,15/04/2020,Masculino,-,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,15/04/2020,Masculino,27,Ceará,Brazil,-3.7300563,-38.6593082
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,15/04/2020,Masculino,23,Ceará,Brazil,-3.8922967,-38.6835427
AIS 7,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,15/04/2020,Masculino,33,Ceará,Brazil,-3.7304512,-38.5217989
AIS 8,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,15/04/2020,Masculino,22,Ceará,Brazil,-3.7304512,-38.5217989
AIS 21,Granjeiro,HOMICIDIO DOLOSO,Arma de fogo,15/04/2020,Masculino,35,Ceará,Brazil,-6.8889524,-39.2179315
AIS 14,Massapê,HOMICIDIO DOLOSO,Arma de fogo,15/04/2020,Masculino,23,Ceará,Brazil,-3.5239058,-40.3423107
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,15/04/2020,Masculino,15,Ceará,Brazil,-3.7304512,-38.5217989
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,15/04/2020,Masculino,19,Ceará,Brazil,-3.7304512,-38.5217989
AIS 19,Juazeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,15/04/2020,Masculino,30,Ceará,Brazil,-7.2153453,-39.3153336
AIS 1,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,15/04/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989
AIS 17,Itapipoca,HOMICIDIO DOLOSO,Outros meios,16/04/2020,Masculino,31,Ceará,Brazil,-3.499329,-39.583571
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,16/04/2020,Feminino,26,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Itaitinga,HOMICIDIO DOLOSO,Arma de fogo,16/04/2020,Masculino,27,Ceará,Brazil,-3.965768,-38.529763
AIS 20,Senador Pompeu,HOMICIDIO DOLOSO,Arma de fogo,16/04/2020,Masculino,31,Ceará,Brazil,-5.5874386,-39.3730901
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,16/04/2020,Masculino,27,Ceará,Brazil,-3.7304512,-38.5217989
