AIS,MUNICIPIO,NATUREZA DO FATO,ARMA-UTILZADA,DATA,SEXO,IDADE,State,Country,LATITUTDE,LONGITUDE
AIS 11,Caucaia,ROUBO SEGUIDO DE MORTE (LATROCINIO),Arma de fogo,05/01/2020,Masculino,22,Ceará,Brazil,-3.7300563,-38.6593082
AIS 19,Juazeiro do Norte,ROUBO SEGUIDO DE MORTE (LATROCINIO),Arma branca,05/01/2020,Feminino,34,Ceará,Brazil,-7.2153453,-39.3153336
AIS 14,Sobral,FEMINICÍDIO,Arma branca,05/01/2020,Feminino,74,Ceará,Brazil,-3.6879135,-40.3456372
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,05/01/2020,Masculino,28,Ceará,Brazil,-3.8922967,-38.6835427
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,05/01/2020,Feminino,32,Ceará,Brazil,-3.7304512,-38.5217989
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,06/01/2020,Feminino,22,Ceará,Brazil,-3.7304512,-38.5217989
AIS 4,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,06/01/2020,Masculino,-,Ceará,Brazil,-3.7304512,-38.5217989
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma branca,06/01/2020,Masculino,35,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,06/01/2020,Masculino,39,Ceará,Brazil,-3.8779438,-38.6247697
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,06/01/2020,Masculino,23,Ceará,Brazil,-3.7300563,-38.6593082
AIS 20,Banabuiú,HOMICIDIO DOLOSO,Arma de fogo,06/01/2020,Feminino,28,Ceará,Brazil,-5.3046404,-38.919766
AIS 19,Juazeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,06/01/2020,Masculino,24,Ceará,Brazil,-7.2153453,-39.3153336
AIS 6,Fortaleza,FEMINICÍDIO,Arma de fogo,07/01/2020,Feminino,48,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Masculino,15,Ceará,Brazil,-3.9841,-38.6180383
AIS 19,Missão Velha,HOMICIDIO DOLOSO,Arma branca,07/01/2020,Masculino,20,Ceará,Brazil,-7.248491,-39.1434843
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Masculino,18,Ceará,Brazil,-3.7300563,-38.6593082
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Feminino,17,Ceará,Brazil,-3.7300563,-38.6593082
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Masculino,53,Ceará,Brazil,-3.7300563,-38.6593082
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Feminino,21,Ceará,Brazil,-4.171073,-38.464988
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Masculino,31,Ceará,Brazil,-4.171073,-38.464988
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Masculino,29,Ceará,Brazil,-3.6879135,-40.3456372
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,07/01/2020,Masculino,31,Ceará,Brazil,-3.7304512,-38.5217989
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,08/01/2020,Masculino,17,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,08/01/2020,Masculino,19,Ceará,Brazil,-3.8779438,-38.6247697
AIS 18,Iracema,HOMICIDIO DOLOSO,Arma de fogo,08/01/2020,Masculino,23,Ceará,Brazil,-5.8106219,-38.3028294
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,08/01/2020,Masculino,20,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,08/01/2020,Masculino,21,Ceará,Brazil,-3.7300563,-38.6593082
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,24,Ceará,Brazil,-3.9063117,-38.387504
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,24,Ceará,Brazil,-3.8779438,-38.6247697
AIS 13,Cascavel,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,27,Ceará,Brazil,-4.129666,-38.241178
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,44,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,24,Ceará,Brazil,-3.7300563,-38.6593082
AIS 13,Horizonte,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,28,Ceará,Brazil,-4.0964618,-38.4965574
AIS 21,Cedro,HOMICIDIO DOLOSO,Arma de fogo,09/01/2020,Masculino,65,Ceará,Brazil,-6.6065382,-39.0599487
AIS 21,Várzea Alegre,HOMICIDIO DOLOSO,Arma de fogo,10/01/2020,Masculino,25,Ceará,Brazil,-6.7936089,-39.2989333
AIS 13,Pacajus,HOMICIDIO DOLOSO,Arma de fogo,10/01/2020,Masculino,34,Ceará,Brazil,-4.171073,-38.464988
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,10/01/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,10/01/2020,Masculino,31,Ceará,Brazil,-3.8779438,-38.6247697
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,36,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,34,Ceará,Brazil,-3.7300563,-38.6593082
AIS 5,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,28,Ceará,Brazil,-3.7304512,-38.5217989
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989
AIS 5,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,11,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,19,Ceará,Brazil,-3.9841,-38.6180383
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,11/01/2020,Masculino,21,Ceará,Brazil,-3.7304512,-38.5217989
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,12/01/2020,Masculino,33,Ceará,Brazil,-3.7304512,-38.5217989
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,12/01/2020,Masculino,35,Ceará,Brazil,-3.8779438,-38.6247697
AIS 19,Juazeiro do Norte,HOMICIDIO DOLOSO,Arma de fogo,12/01/2020,Masculino,30,Ceará,Brazil,-7.2153453,-39.3153336
AIS 19,Caririaçu,HOMICIDIO DOLOSO,Outros meios,12/01/2020,Masculino,50,Ceará,Brazil,-7.0417053,-39.2835527
AIS 15,Redenção,HOMICIDIO DOLOSO,Arma de fogo,12/01/2020,Masculino,24,Ceará,Brazil,-4.2243979,-38.7278461
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,12/01/2020,Masculino,22,Ceará,Brazil,-3.8779438,-38.6247697
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,13/01/2020,Masculino,16,Ceará,Brazil,-3.7304512,-38.5217989
AIS 15,Aratuba,HOMICIDIO DOLOSO,Arma branca,13/01/2020,Masculino,38,Ceará,Brazil,-4.4195958,-39.0463737
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Outros meios,13/01/2020,Masculino,32,Ceará,Brazil,-3.7304512,-38.5217989
AIS 10,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,13/01/2020,Masculino,36,Ceará,Brazil,-3.7304512,-38.5217989
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,13/01/2020,Masculino,21,Ceará,Brazil,-3.7304512,-38.5217989
AIS 13,Cascavel,HOMICIDIO DOLOSO,Arma de fogo,13/01/2020,Masculino,23,Ceará,Brazil,-4.129666,-38.241178
AIS 10,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,13/01/2020,Masculino,18,Ceará,Brazil,-3.7304512,-38.5217989
AIS 14,Forquilha,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,21,Ceará,Brazil,-3.799447,-40.263405
AIS 20,Senador Pompeu,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,28,Ceará,Brazil,-5.5874386,-39.3730901
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,-,Ceará,Brazil,-3.7304512,-38.5217989
AIS 13,Eusébio,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,-,Ceará,Brazil,-3.8889838,-38.4546585
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,-,Ceará,Brazil,-3.9841,-38.6180383
AIS 14,Santana do Acaraú,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,26,Ceará,Brazil,-3.4596492,-40.2090987
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,16,Ceará,Brazil,-3.8922967,-38.6835427
AIS 11,São Gonçalo do Amarante,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,24,Ceará,Brazil,-3.6099755,-38.9687182
AIS 13,Cascavel,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,52,Ceará,Brazil,-4.129666,-38.241178
AIS 13,Chorozinho,ROUBO SEGUIDO DE MORTE (LATROCINIO),Arma de fogo,14/01/2020,Masculino,32,Ceará,Brazil,-4.3010895,-38.4976923
AIS 12,Itaitinga,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,34,Ceará,Brazil,-3.965768,-38.529763
AIS 21,Lavras da Mangabeira,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Feminino,18,Ceará,Brazil,-6.7567541,-38.978435941213945
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,14/01/2020,Masculino,20,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,15/01/2020,Masculino,27,Ceará,Brazil,-3.7300563,-38.6593082
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,15/01/2020,Masculino,76,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,15/01/2020,Masculino,23,Ceará,Brazil,-3.7300563,-38.6593082
AIS 13,Horizonte,HOMICIDIO DOLOSO,Arma de fogo,15/01/2020,Masculino,22,Ceará,Brazil,-4.0964618,-38.4965574
AIS 15,Capistrano,HOMICIDIO DOLOSO,Arma de fogo,15/01/2020,Masculino,36,Ceará,Brazil,-4.4644692,-38.8956734
AIS 12,Maracanaú,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,21,Ceará,Brazil,-3.8779438,-38.6247697
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,23,Ceará,Brazil,-3.8922967,-38.6835427
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,17,Ceará,Brazil,-3.7304512,-38.5217989
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,30,Ceará,Brazil,-3.7304512,-38.5217989
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,19,Ceará,Brazil,-3.6879135,-40.3456372
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,20,Ceará,Brazil,-3.7304512,-38.5217989
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma de fogo,16/01/2020,Masculino,47,Ceará,Brazil,-3.6879135,-40.3456372
AIS 3,Fortaleza,ROUBO SEGUIDO DE MORTE (LATROCINIO),Arma de fogo,17/01/2020,Masculino,42,Ceará,Brazil,-3.7304512,-38.5217989
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,23,Ceará,Brazil,-3.7304512,-38.5217989
AIS 15,Caridade,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,59,Ceará,Brazil,-4.2316487,-39.1946515
AIS 4,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Feminino,27,Ceará,Brazil,-3.7304512,-38.5217989
AIS 18,Pereiro,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,25,Ceará,Brazil,-6.046269,-38.4604192
AIS 16,Ipueiras,HOMICIDIO DOLOSO,Outros meios,17/01/2020,Masculino,64,Ceará,Brazil,-4.5427141,-40.7168461
AIS 11,Trairi,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,22,Ceará,Brazil,-3.2741504,-39.2649188
AIS 14,Forquilha,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,28,Ceará,Brazil,-3.799447,-40.263405
AIS 21,Várzea Alegre,HOMICIDIO DOLOSO,Outros meios,17/01/2020,Masculino,21,Ceará,Brazil,-6.7936089,-39.2989333
AIS 22,Tauá,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Feminino,49,Ceará,Brazil,-6.0031372,-40.2947268
AIS 18,Russas,FEMINICÍDIO,Arma branca,17/01/2020,Feminino,54,Ceará,Brazil,-4.9354279,-37.9783838
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,19,Ceará,Brazil,-3.7304512,-38.5217989
AIS 13,Horizonte,HOMICIDIO DOLOSO,Arma branca,17/01/2020,Masculino,26,Ceará,Brazil,-4.0964618,-38.4965574
AIS 14,Forquilha,HOMICIDIO DOLOSO,Arma de fogo,17/01/2020,Masculino,24,Ceará,Brazil,-3.799447,-40.263405
AIS 3,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,33,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,40,Ceará,Brazil,-3.7300563,-38.6593082
AIS 18,Fortim,HOMICIDIO DOLOSO,Arma branca,18/01/2020,Feminino,58,Ceará,Brazil,-4.451256,-37.798056
AIS 12,Pacatuba,HOMICIDIO DOLOSO,Arma de fogo,18/01/2020,Masculino,35,Ceará,Brazil,-3.9841,-38.6180383
